[0.00s -> 19.84s]  Yes, Mr. Beer.
[4201.44s -> 4207.90s]  We've seen now an email that attributes to you a suggestion that you wanted to agree
[4207.90s -> 4220.12s]  this with James Arbuthnot and a speaking note or a briefing note saying the same thing?
[4220.12s -> 4229.46s]  It doesn't say that I am trying to wind the scheme up, which I think was your question.
[4229.46s -> 4236.82s]  Okay, they should focus on answering the question, have systemic defects in Horizon resulted
[4236.82s -> 4241.72s]  on in the wrongful conviction of sub-postmasters by reference to two to three cases.
[4241.72s -> 4242.72s]  Yeah, so.
[4242.72s -> 4246.00s]  Was that your view as to what should happen?
[4246.00s -> 4247.00s]  No.
[4247.00s -> 4256.10s]  At no stage did I make the link that you have just led me to make between these two to three
[4256.10s -> 4260.44s]  cases and being able to reach a view on the system and being able to complete the whole
[4260.44s -> 4262.16s]  piece of work.
[4262.16s -> 4267.22s]  What I was very aware of is that this was an interim review coming up, and that there
[4267.22s -> 4271.16s]  were more cases to go through the scheme.
[4271.16s -> 4282.78s]  The link is made right here in this document, isn't it, in paragraphs 3.1 and 3.2?
[4282.78s -> 4291.04s]  It is, and as I mentioned earlier, before the document came up, my understanding was
[4291.04s -> 4296.08s]  that from the work Second Sight had done, presumably around the thematic work where
[4296.08s -> 4300.46s]  they had been looking at a number of cases, and they're now being asked to take two or
[4300.46s -> 4312.80s]  three cases, which may or may not show whether sub-postmasters had been wrongfully convicted.
[4312.80s -> 4313.80s]  Can we move forward?
[4313.80s -> 4316.44s]  I was not trying to close anything down.
[4316.44s -> 4319.86s]  It's really important that I say that.
[4319.86s -> 4323.90s]  Can we move forward, please, to closer to the production of the interim report, poll
[4323.90s -> 4339.10s]  309, 9003.
[4339.10s -> 4343.90s]  An email from Martin Edwards.
[4343.90s -> 4346.98s]  Can you explain who Mr. Edwards was at this time, July 13th?
[4346.98s -> 4359.32s]  Ed was my Chief of Staff. He emails you on the 4th of July with a draft for the board.
[4359.32s -> 4364.74s]  He says hopefully it's not too long but it's difficult not to open some of these issues
[4364.74s -> 4372.54s]  without providing a reasonable explanation. And so what follows is this writer draft email
[4372.54s -> 4374.46s]  that you were to send to your board.
[4374.46s -> 4375.18s]  Right.
[4375.18s -> 4376.18s]  Is that right?
[4376.18s -> 4376.94s]  Yes.
[4376.94s -> 4377.78s]  OK.
[4377.78s -> 4381.50s]  And then beneath the dotted line, we see the draft email.
[4381.50s -> 4382.98s]  I wanted to send you a brief email
[4382.98s -> 4385.22s]  to update you on where we are with the second site
[4385.22s -> 4386.94s]  investigation.
[4386.94s -> 4388.86s]  We've been engaging closely with second site
[4388.86s -> 4390.90s]  throughout the week to understand the position they
[4390.90s -> 4393.26s]  intend to take in the interim report
[4393.26s -> 4396.22s]  and emphasizing our concern that their findings must be even
[4396.22s -> 4399.06s]  handed and grounded in the facts.
[4399.06s -> 4401.22s]  In line with our discussion on Monday's board call,
[4401.22s -> 4407.30s]  we understand they've not found any evidence yet of systemic issues with the Horizon system,
[4407.30s -> 4413.54s]  and it should be noted that this is based on a detailed review of their four best cases
[4413.54s -> 4420.46s]  in terms of compelling evidence. So, by this time, I think you had drawn a link between
[4420.46s -> 4426.28s]  a review of a small number of cases, it's got up to four, and whether there were systemic
[4426.28s -> 4428.10s]  issues with Horizon.
[4428.10s -> 4432.26s]  Yes, but I hadn't drawn that link.
[4432.26s -> 4440.98s]  I think the way I read this is that is what the team had understood from second site.
[4440.98s -> 4446.06s]  What second site were prepared to say that there were no systemic issues with Horizon
[4446.06s -> 4451.06s]  generally on the basis of looking at four cases?
[4451.06s -> 4457.82s]  That appears to be the case, but as I've said, they also were doing wider work by this stage.
[4457.82s -> 4467.46s]  What was your understanding at this point, at what systemic issues meant?
[4467.46s -> 4477.90s]  I'm not sure, as I say in my statement, that I was able to make an informed decision on
[4477.90s -> 4478.90s]  that.
[4478.90s -> 4487.10s]  Second site themselves, I think, refer to it as something that might have a broad impact
[4487.10s -> 4490.62s]  the post offices or across the system. I can't remember, but you will have the reference.
[4490.62s -> 4494.30s]  Was there a shared? I'm so sorry.
[4494.30s -> 4500.34s]  And so my assumption, if they felt they could reach this conclusion from a small number
[4500.34s -> 4506.34s]  of cases, was that perhaps, but this is my reflection today. I don't think I had the
[4506.34s -> 4513.02s]  reflection at the time, was that perhaps they had seen something in those cases that could
[4513.02s -> 4521.28s]  have occurred elsewhere. But I'm really, I'm speculating to try and help answer the question
[4521.28s -> 4523.54s]  that I didn't ask at the time.
[4523.54s -> 4530.24s]  Was there a shared understanding between you and the post office board as to what systemic
[4530.24s -> 4534.84s]  issues meant?
[4534.84s -> 4537.58s]  I don't think the conversation ever happened.
[4537.58s -> 4542.40s]  Was there a shared understanding between you and the post office team that were leading
[4542.40s -> 4547.68s]  on the work with Second Sight as to what systemic issues meant.
[4547.68s -> 4556.84s]  Was there any discussion over what systemic issues meant?
[4556.84s -> 4560.28s]  I don't recall one, no.
[4560.28s -> 4561.28s]  Thank you.
[4561.28s -> 4563.08s]  Sir, it's 11 o'clock.
[4563.08s -> 4564.96s]  May we take the morning break until quarter past?
[4564.96s -> 4565.96s]  Yeah.
[4565.96s -> 4566.96s]  Thank you.
[4566.96s -> 4596.16s]  Ms. Reynolds, can we turn please to some documents that may provide some insight into your approach
[4596.16s -> 4603.12s]  and decision making in relation to the post office's decision not to review all past
[4603.12s -> 4610.12s]  convictions in the light of what was emerging from second sight. Can we look please at poll
[4610.12s -> 4628.80s]  And if we look at the bottom of page one, please.
[4628.80s -> 4633.84s]  And if we just look at the top of the page, I think we'll see who this is sent to.
[4633.84s -> 4639.54s]  Lesley, Saul, Martin Edwards, Mark Davis, Alwyn Lyon, Susan Crichton.
[4639.54s -> 4646.36s]  Go back to the bottom of page one, please.
[4646.36s -> 4648.06s]  Thanks for your inputs today.
[4648.06s -> 4654.64s]  Susan, I need your thoughts on the note below, especially one and two, please, and the questions
[4654.64s -> 4657.38s]  at the end of the mail.
[4657.38s -> 4660.26s]  I think we have the following, which is a variant.
[4660.26s -> 4665.36s]  One, a working party over the next three to four months.
[4665.36s -> 4668.60s]  This comprises the post office working collaboratively
[4668.60s -> 4672.00s]  with the JFSA and does three things.
[4672.00s -> 4674.12s]  So just stopping where we are at the moment.
[4674.12s -> 4679.88s]  I think you knew, is this right, of the likely content
[4679.88s -> 4682.80s]  and conclusions of the interim report?
[4682.80s -> 4685.72s]  This is two days before it was published.
[4685.72s -> 4689.18s]  And you're now working out the next steps.
[4689.18s -> 4692.66s]  I think that's right, yes.
[4692.66s -> 4698.66s]  The working party firstly explores the second site, eight themes for improvement, can we
[4698.66s -> 4702.42s]  get less than eight, and agrees how they can be implemented.
[4702.42s -> 4708.16s]  Secondly, looks at the remaining past cases with the JFSA and MPs if they wish to see
[4708.16s -> 4712.86s]  if further themes or new evidence emerge.
[4712.86s -> 4721.66s]  And then this, thirdly, our external lawyers review all prosecutions in the past 12 to
[4721.66s -> 4728.94s]  18 months since the post office has been independent of Royal Mail in the light of the second site
[4728.94s -> 4730.22s]  findings.
[4730.22s -> 4736.62s]  The JFSA post office working group reviews the findings, and then in square brackets,
[4736.62s -> 4742.34s]  why would they not review all cases of false accounting, e.g. over the last five to ten
[4742.34s -> 4751.10s]  years, especially where amounts have been small. I assume large amounts would be less
[4751.10s -> 4759.94s]  likely to get away with saying they were muddle-headed and not helped. But could we review all? It's
[4759.94s -> 4767.46s]  the false accounting charge that James R. Buffnot was most concerned about.
[4767.46s -> 4776.50s]  And then if we scroll on, please, over the page, I'm going to skip over two and three
[4776.50s -> 4784.06s]  for the moment and look at four, issuing a statement that although the system has been
[4784.06s -> 4794.42s]  proved to have no systemic issues, and our training support processes and helplines have
[4794.42s -> 4800.74s]  have worked for most of the 50,000 to 60,000 colleagues over the past decade, we're nonetheless
[4800.74s -> 4806.98s]  genuinely sorry that some of our sub-postmasters who were struggling did not feel we offered
[4806.98s -> 4816.66s]  them sufficient help and support when they needed it. We're grateful to the JFSA and
[4816.66s -> 4822.54s]  James R. Buffnot for highlighting the issues. Many are historic and already improved, but
[4822.54s -> 4828.74s]  rules always open to new ways to improve how we do business to ensure the post office stays
[4828.74s -> 4836.42s]  as trusted and effective in its communities as it ever was.
[4836.42s -> 4846.82s]  So going back, and sorry, you say can we draft this into something I could send to Alan Bates?
[4846.82s -> 4847.82s]  Yes?
[4847.82s -> 4848.82s]  Yes.
[4848.82s -> 4849.82s]  Yes.
[4849.82s -> 4858.38s]  A last paragraph, Susan, would we ever ask the lawyers to consider reviewing past prosecutions?
[4858.38s -> 4863.10s]  Is that what we're talking about in one above, but simply not using the terms?
[4863.10s -> 4865.54s]  If not, why would it be different?
[4865.54s -> 4869.34s]  Of our 500 prosecutions, how many are for false accounting?
[4869.34s -> 4873.42s]  The clarity, these are open questions, just want to know the answers, not an indication
[4873.42s -> 4874.94s]  that I want us to do so.
[4874.94s -> 4887.14s]  So just going back to the first page, please, at the foot, the point three, our lawyers,
[4887.14s -> 4895.80s]  external lawyers reviewing all prosecutions in the past 12 to 18 months.
[4895.80s -> 4901.88s]  And then you ask the question, why would the external lawyers not review all cases of false
[4901.88s -> 4911.14s]  accounting over the last five to ten years. Why was the proposed review to be limited
[4911.14s -> 4914.84s]  to prosecutions in the last 12 to 18 months?
[4914.84s -> 4920.92s]  I don't remember, and if I might just add in case there's any confusion, the description
[4920.92s -> 4928.22s]  muddle-headed was one that Mr Bates had used. That wasn't a word and I had picked that up.
[4928.22s -> 4935.86s]  But in terms of answering your question specifically, I can't recall why 12 to 18 months.
[4935.86s -> 4941.50s]  There was a question raised by the board at some stage as to...
[4941.50s -> 4945.26s]  That these are your proposals, though?
[4945.26s -> 4947.46s]  No, I think this is...
[4947.46s -> 4956.22s]  I believe this is me pulling together a number of suggestions that had come in over a period
[4956.22s -> 4958.50s]  with time from different colleagues.
[4958.50s -> 4966.26s]  And you have drawn them together and said, we've got the following, which is a variant,
[4966.26s -> 4970.74s]  and you've said, can this be drawn up into a document that can be sent to Alan Bates?
[4970.74s -> 4975.78s]  Yes. And what I'm doing here, I think, is showing with colleagues, have I, the way that
[4975.78s -> 4982.82s]  I worked and they worked in an iterative process, is have I understood what, you know, does
[4982.82s -> 4984.82s]  this seem a sensible way forward?
[4984.82s -> 4990.90s]  And so you were going to propose that the lawyers review all prosecutions in the past
[4990.90s -> 4992.90s]  12 to 18 months?
[4992.90s -> 4995.06s]  No, I wasn't proposing that.
[4995.06s -> 4998.34s]  I had been given that information, I think, by somebody else.
[4998.34s -> 5000.86s]  Okay, who had given you the information?
[5000.86s -> 5002.58s]  It could only have been Susan.
[5002.58s -> 5006.34s]  Why were they proposing the past 12 to 18 months?
[5006.34s -> 5007.34s]  That I'm not sure.
[5007.34s -> 5017.06s]  What I was just trying to say is that the board had asked at some stage, but I'm not
[5017.06s -> 5025.90s]  sure if it was at this point, whether the company, and this is also an Alice Perkins
[5025.90s -> 5035.02s]  statement, had conducted any prosecutions which had relied solely on Horizon because
[5035.02s -> 5041.06s]  there was a concern, clearly, because of the issues that were being raised by Lord Arbuthnot,
[5041.06s -> 5047.42s]  that the Board didn't want to be taking prosecutions until the various investigations had been
[5047.42s -> 5051.98s]  seen through. But I don't know whether that was anything to do with this particular point.
[5051.98s -> 5059.50s]  If I have collated this from information from colleagues, that could only have come from
[5059.50s -> 5061.14s]  Susan, I think.
[5061.14s -> 5066.90s]  You drew this up as a collection of what had been said to you or asked to you, and you
[5066.90s -> 5074.34s]  were happy to put it forward as a proposal subject to the questions that you asked.
[5074.34s -> 5080.94s]  Yes, I think we were trying to find a way through post the interim report.
[5080.94s -> 5085.26s]  The interim report was about to be published, and we still had numbers of cases that needed
[5085.26s -> 5086.66s]  to be reviewed.
[5086.66s -> 5093.14s]  We were trying to find, and what actually happens is this is moved on a couple more
[5093.14s -> 5099.38s]  stages, was a solution that would get us through the other cases that would work for the JFSA.
[5099.38s -> 5106.66s]  So what was the logic of the proposal to review prosecutions in the past 12 to 18 months?
[5106.66s -> 5110.94s]  I'm afraid I can't remember and I can see that I'm asking in a sense, I don't put it
[5110.94s -> 5115.70s]  that clearly, but I'm saying why would they not review all the cases?
[5115.70s -> 5122.54s]  It says review all prosecutions in the past 12 to 18 months since the post office has
[5122.54s -> 5129.26s]  been independent of Royal Mail. Was that seen in your discussions with the people involved
[5129.26s -> 5137.74s]  as the important point of distinction will only go back to the point of separation, i.e.
[5137.74s -> 5138.74s]  April 2012?
[5138.74s -> 5146.66s]  No, I think that is my point about the question that was raised in the Board, because the
[5146.66s -> 5153.26s]  Board had only been in place since the Post Office had been independent of Royal Mail.
[5153.26s -> 5160.38s]  You ask in brackets why would they, the external lawyers, not review all cases, e.g. over the
[5160.38s -> 5165.50s]  last five to ten years. Why were you asking that?
[5165.50s -> 5169.78s]  I assume, because that seemed a fairly sensible question, which is why would we be restricting
[5169.78s -> 5172.46s]  ourselves to a particular time period?
[5172.46s -> 5173.82s]  That's logical, isn't it?
[5173.82s -> 5178.12s]  If we're trying to do this properly, why wouldn't we do all of them, yes?
[5178.12s -> 5182.34s]  If we're doing this properly and fairly, why wouldn't we look back at all cases of false
[5182.34s -> 5183.34s]  accounting?
[5183.34s -> 5184.34s]  Yes.
[5184.34s -> 5188.54s]  Was that done?
[5188.54s -> 5196.70s]  The scheme, no, in terms of what we know today, clearly not.
[5196.70s -> 5207.10s]  The scheme was opened to 150 cases that came forwards, and the post office advertised across
[5207.10s -> 5213.62s]  the network for any post masters who wanted to come into the scheme and have their cases
[5213.62s -> 5214.62s]  reviewed.
[5214.62s -> 5220.24s]  So, my understanding at the time is that we were open to, however many postmasters came
[5220.24s -> 5226.64s]  forwards, but in terms of specifically the post office legal team and its lawyers, going
[5226.64s -> 5233.48s]  back and looking at all the cases, that wasn't the work that was in place and I wouldn't...
[5233.48s -> 5234.92s]  Why wasn't it put in place?
[5234.92s -> 5240.64s]  Here you're suggesting that the post office itself, through external lawyers, proactively
[5240.64s -> 5247.72s]  review all cases of false accounting going back up to a decade and you've I think accepted
[5247.72s -> 5255.60s]  that that would be the fair and proper thing to do. Why didn't the proper and fair thing
[5255.60s -> 5259.16s]  to do get done?
[5259.16s -> 5263.48s]  I can't remember whether you have any further documentation that would see what answer I
[5263.48s -> 5266.48s]  got to that.
[5266.48s -> 5272.06s]  We're going to come to the answers, the narrow answers, and essentially we're going to find
[5272.06s -> 5278.40s]  out that Mark Davis, the PR guy, said it's very dangerous.
[5278.40s -> 5279.84s]  I don't remember that.
[5279.84s -> 5285.76s]  I was asking the question to do this work the right way, and my understanding and acceptance
[5285.76s -> 5292.04s]  of what was proposed, which was accepted by the MPs and everybody else involved, was that
[5292.04s -> 5295.28s]  the mediation scheme was the right way through.
[5295.28s -> 5303.08s]  I think we see other documentation that sees cases go to the CCRC.
[5303.08s -> 5308.58s]  There is documentation that says cases can't be resolved through mediation in the scheme
[5308.58s -> 5313.28s]  and they would need to go through the Court of Appeal.
[5313.28s -> 5317.56s]  The fact I can recall those, I suspect there was a wider discussion around this at some
[5317.56s -> 5318.56s]  stage.
[5318.56s -> 5334.68s]  Do you agree that your nascent idea here of a review of all prosecutions of false accounting,
[5334.68s -> 5347.18s]  if it had been carried into effect, that may have avoided a lost decade until miscarriages
[5347.18s -> 5357.66s]  of justice were discovered?
[5357.66s -> 5359.54s]  It may well have done.
[5359.54s -> 5360.54s]  It may well have done.
[5360.54s -> 5366.86s]  Do you think the failure to carry into effect the idea that you posit here was a missed
[5366.86s -> 5369.86s]  opportunity?
[5369.86s -> 5378.90s]  At the time, I and the board and everybody else involved in what succeeded after this
[5378.90s -> 5385.62s]  particular point, sorry, wrong word, what took place after this particular point, felt
[5385.62s -> 5388.86s]  that that was completely the right way to do this.
[5388.86s -> 5396.46s]  We were concentrating on individual cases.
[5396.46s -> 5403.46s]  You say that such a review, especially where cases have been small, because large amounts
[5403.46s -> 5408.44s]  would be less likely to get away with saying they were muddle-headed.
[5408.44s -> 5411.64s]  What do you mean by that?
[5411.64s -> 5415.96s]  I'm not entirely sure now.
[5415.96s -> 5420.84s]  You can see from the way these questions are asked that I'm operating in an area of business
[5420.84s -> 5427.68s]  the legal sphere that I, at the time especially, was very naive about and
[5427.68s -> 5433.50s]  didn't understand. So I am asking questions because one of the roles of a
[5433.50s -> 5439.48s]  chief executive is to not sit on questions, is to not stay quiet on things
[5439.48s -> 5444.32s]  that you don't understand. Sometimes you ask questions and they sound stupid but
[5444.32s -> 5448.68s]  it's the right thing to do because you you need to ask those questions. And I
[5448.68s -> 5459.60s]  I'm not entirely sure here whether I was assuming that large amounts of false
[5459.60s -> 5465.92s]  accounting might point more to crime than not. I don't know.
[5465.92s -> 5472.80s]  Can you help us as to why you would come up with that idea?
[5472.80s -> 5486.12s]  A person accused of false accounting in relation to a small amount of money may be more likely
[5486.12s -> 5495.88s]  to deserve or need a review of their conviction versus a person accused of false accounting
[5495.88s -> 5498.72s]  a large amount of money.
[5498.72s -> 5500.56s]  I don't think that's what I'm saying.
[5500.56s -> 5507.40s]  I think what I'm saying is that if, so first of all, I'm asking questions and I don't
[5507.40s -> 5509.64s]  understand this.
[5509.64s -> 5515.80s]  I think what I was asking is that if somebody had committed false accounting over a long
[5515.80s -> 5523.44s]  period of time and had therefore reached a large sum, and I realize today and I regret
[5523.44s -> 5532.68s]  what I said, that I understand very much today why sub-postmasters were driven to do this,
[5532.68s -> 5538.56s]  but at the time, my naive assumption was that if somebody was false accounting on a regular
[5538.56s -> 5545.40s]  basis over a long period of time and accumulated a large amount false accounted, that might
[5545.40s -> 5555.28s]  give an intention of something that was perhaps more planned than where an amount might have
[5555.28s -> 5557.48s]  been an occasional example.
[5557.48s -> 5562.96s]  Okay, can we look at Mr Davies' reply?
[5562.96s -> 5572.96s]  Poll 3099055.
[5572.96s -> 5581.88s]  to the page. Hi, Paula, could we have a word at some point today to discuss this, and specifically
[5581.88s -> 5590.12s]  how far we go in terms of the wording below? I'm sending this just to you at this stage.
[5590.12s -> 5595.88s]  I'm very concerned that we may get into a position, sorry, get to a position where we
[5595.88s -> 5601.86s]  go so far in our commitments that we actually fuel the story and turn it into something
[5601.86s -> 5608.14s]  bigger than it is. I'm not at all complacent about the issues, but there is a real danger
[5608.14s -> 5616.20s]  in going too far in commitments about past cases.
[5616.20s -> 5621.44s]  This is for two reasons. First, the substance of the report doesn't justify this response.
[5621.44s -> 5626.82s]  Indeed, the response is at such a level that our current media strategy would mean there
[5626.82s -> 5630.08s]  There will be some coverage, but not very much.
[5630.08s -> 5636.38s]  If we say publicly that we'll look at past cases, whether from recent history or going
[5636.38s -> 5642.10s]  further back, we will open this up very significantly into front page news.
[5642.10s -> 5646.00s]  In media terms, it becomes mainstream, very high profile.
[5646.00s -> 5651.10s]  It will also give James Arbuthnot a very strong case for asking for a parliamentary statement
[5651.10s -> 5652.82s]  from BIS.
[5652.82s -> 5656.50s]  My second concern is the impact this would have more broadly.
[5656.50s -> 5662.24s]  It would have the ballistic impact, which A.B. fears.
[5662.24s -> 5668.16s]  It would lead to a very public narrative about the very nature of the business, raising questions
[5668.16s -> 5670.36s]  about Horizon.
[5670.36s -> 5675.52s]  The reality of what Second Sight has found would be misunderstood, and having an impact
[5675.52s -> 5684.38s]  on public views about the post office, and really widening the issue to the whole network.
[5684.38s -> 5692.70s]  Do you agree that Mr Davis is here giving you personal advice on the extent to which
[5692.70s -> 5702.14s]  past convictions are reviewed on the basis of the extent of the media coverage that each
[5702.14s -> 5709.74s]  decision might generate?
[5709.74s -> 5721.02s]  My understanding at the time was that he, and I think the post office generally, and
[5721.02s -> 5728.54s]  we've seen similar comments from the chairman as well, believed we were dealing with a small
[5728.54s -> 5735.18s]  number of cases, and the numbers that were coming forward seemed to, at that stage, clearly
[5735.18s -> 5739.92s]  more came later, seemed to indicate that was the case.
[5739.92s -> 5747.54s]  And the inquiry heard from Mark Davis last week, I think, where he explained, and that
[5747.54s -> 5756.18s]  was my understanding at the time, that what he was trying to do was to minimize misinterpretation.
[5756.18s -> 5762.80s]  It was wrong, because clearly, if all past cases needed investigating, they needed investigating.
[5762.80s -> 5767.84s]  at the time that wasn't what the post office thought and I think what he was trying to
[5767.84s -> 5774.56s]  do here was, as I say, to minimize misinterpretation and exaggeration in the media.
[5774.56s -> 5785.32s]  Do you agree that his first point says you should make a decision about the extent to
[5785.32s -> 5796.44s]  to which you review possible past miscarriages of justice by reference to the extent of media
[5796.44s -> 5799.60s]  coverage that it will generate?
[5799.60s -> 5803.48s]  It does say, it could be read that way, that wasn't my...
[5803.48s -> 5808.08s]  Is there another way of reading it?
[5808.08s -> 5811.36s]  I wouldn't have...
[5811.36s -> 5826.04s]  And if there is, please explain which words help to read it in a different way.
[5826.04s -> 5833.52s]  He's saying don't go back 10 years or say that you'll go back 10 years.
[5833.52s -> 5838.22s]  Our current approach would mean there's going to be some coverage but not very much, the
[5838.22s -> 5839.96s]  usual suspects.
[5839.96s -> 5846.16s]  If we say we'll look back at past cases, we'll be on the front page.
[5846.16s -> 5849.80s]  Isn't he directly saying?
[5849.80s -> 5856.44s]  Yes, I can see that that's what he's saying, but my mindset at the time when I received
[5856.44s -> 5863.44s]  this is that we were working on specific cases that were coming forwards, and we opened up
[5863.44s -> 5864.44s]  No, no, no.
[5864.44s -> 5866.32s]  Hold on, Ms. Reynolds.
[5866.32s -> 5871.72s]  The email that you had sent to which this is a response posits, should we look back
[5871.72s -> 5873.72s]  12 to 18 months in separation?
[5873.72s -> 5875.52s]  Or should we go back further?
[5875.52s -> 5878.64s]  Why aren't we going back further, five to ten years?
[5878.64s -> 5884.60s]  And this says, you can't do that, you'll be on the front page.
[5884.60s -> 5887.20s]  That's a grossly improper perspective, isn't it?
[5887.20s -> 5890.84s]  Yes it is.
[5890.84s -> 5895.60s]  Do you know why he cut everyone else out of the chain and replied directly to you?
[5895.60s -> 5899.40s]  No, I don't.
[5899.40s -> 5902.72s]  Was he a very trusted advisor?
[5902.72s -> 5905.36s]  He was trusted by all of the team.
[5905.36s -> 5911.16s]  As I said yesterday, I trusted all of the team, none of them more than the others.
[5911.16s -> 5915.12s]  Did you remain in contact with Mr Davis after you left post office?
[5915.12s -> 5916.12s]  I did.
[5916.12s -> 5923.60s]  Did you exchange messages with him about media statements that you might make and the media
[5923.60s -> 5931.72s]  lines that you might take in the announcement of this inquiry, for example?
[5931.72s -> 5934.96s]  I believe the inquiry has texts that show that.
[5934.96s -> 5944.04s]  Even though you'd moved on, he was still advising you into 2020 as the lines to take in your
[5944.04s -> 5946.16s]  media statements.
[5946.16s -> 5956.48s]  I had kept in touch with Mr. Davies for reasons that were very personal to him and I think
[5956.48s -> 5964.48s]  he offered that advice at the time.
[5964.48s -> 5975.04s]  To what extent did what Mr. Davies advised here affect your decision making?
[5975.04s -> 5981.06s]  I would never, it was simply not the way I worked, have taken a decision based on the
[5981.06s -> 5991.90s]  advice of one colleague. Never. My way of working was to take as many different views
[5991.90s -> 5996.88s]  as I possibly could and to involve those individuals in the decision making as much as I possibly
[5996.88s -> 5997.88s]  could.
[5997.88s -> 6003.20s]  Look at the top of page one, please.
[6003.20s -> 6007.24s]  Your reply, Mark, thanks for this.
[6007.24s -> 6009.78s]  I don't think we're too far apart.
[6009.78s -> 6012.90s]  I didn't say this approach would be our media statement,
[6012.90s -> 6015.90s]  but they'd need to be aligned.
[6015.90s -> 6017.94s]  You're right to call this out.
[6017.94s -> 6019.14s]  I will take your steer.
[6019.14s -> 6030.98s]  You did take the advice of the PR guy, didn't you?
[6030.98s -> 6034.94s]  I really don't remember it relating to the decision.
[6034.94s -> 6037.46s]  Hang on now, please.
[6037.46s -> 6040.66s]  Thank you.
[6040.66s -> 6050.32s]  As I tried to say before, my, what we were working to at this stage was numbers of cases
[6050.32s -> 6054.18s]  going through a scheme and a scheme that was going to be opened up to anybody who wanted
[6054.18s -> 6057.82s]  to come forward.
[6057.82s -> 6067.78s]  I understand how this reads, but I don't recall making any conscious decision not to go back
[6067.78s -> 6079.46s]  and put in place a review of all past criminal cases, my conviction as we were going forwards
[6079.46s -> 6085.82s]  in this was that this scheme would enable any case that want, any postmaster that wanted
[6085.82s -> 6093.06s]  their case to be reviewed, that the scheme would allow for that.
[6093.06s -> 6100.78s]  continue, there are two objectives. The most urgent being to manage the media.
[6100.78s -> 6105.66s]  The second is to make sure we do address the concerns of James R.
[6105.66s -> 6112.26s]  Buffnot and Alan Bates, mainly looking forwards. We should be aware of Alan
[6112.26s -> 6117.78s]  Bates' driver is really justice for the past, otherwise they will call for
[6117.78s -> 6122.82s]  reopening cases. It may be that we get to manage Alan Bates and James
[6122.82s -> 6129.74s]  James R. Buffnot by playing on the go ballistic view, i.e. I'll meet him privately to hear
[6129.74s -> 6136.70s]  his views about these cases, but we cannot refer to anything in relation to past convictions.
[6136.70s -> 6144.66s]  Any challenge must be, must go by normal legal routes. Is that the way your mind worked at
[6144.66s -> 6150.92s]  this time? The priority was to manage the media and then deal with the actual substance
[6150.92s -> 6157.16s]  of issues?
[6157.16s -> 6167.40s]  The media issue related to, I believe, because we were right on the day or the day before
[6167.40s -> 6175.92s]  the release of the second site interim report, and that's my recollection that that is the
[6175.92s -> 6178.32s]  media conversation that we were having.
[6178.32s -> 6184.40s]  But what we're talking about here is how far back a review of possible miscarriages of
[6184.40s -> 6187.40s]  justice should go.
[6187.40s -> 6190.72s]  Yes, and I'm not closing that down at all.
[6190.72s -> 6196.52s]  You say there are two objectives, the most urgent being to manage the media.
[6196.52s -> 6200.80s]  I'm pretty sure that that was in relation to the interim report, which was due out any
[6200.80s -> 6208.88s]  time, which, as the inquiry has seen and heard from other people, there were issues in that
[6208.88s -> 6215.52s]  report which the post office disagreed with and the team felt Second Sight hadn't taken
[6215.52s -> 6221.68s]  account of. That, I think, was the issue that we were talking. So this was a really urgent
[6221.68s -> 6226.92s]  today or tomorrow issue. And then there was the concerns looking forwards.
[6226.92s -> 6236.96s]  No, no. What you're saying here is you're right, Mark. We will put the past behind us.
[6236.96s -> 6244.38s]  We won't look at past cases. We'll focus on the future.
[6244.38s -> 6249.76s]  That isn't what happened. That simply isn't the case, because the scheme was open to past
[6249.76s -> 6252.36s]  cases. There was no time limit or type of...
[6252.36s -> 6262.96s]  The burden was put on the sub-postmaster to prove their case, wasn't it?
[6262.96s -> 6268.04s]  The scheme was open to any postmaster who wanted to bring their case forward.
[6268.04s -> 6274.00s]  It was advertised in various ways to encourage people to come forward.
[6274.00s -> 6280.96s]  There were other conversations going on at the same time as this exchange with colleagues.
[6280.96s -> 6290.36s]  And it was very clear that any cases that included criminal convictions would need to
[6290.36s -> 6294.00s]  go through the Court of Appeal and the normal legal routes.
[6294.00s -> 6302.28s]  I don't think I understood any more about the legal side of things to have got involved
[6302.28s -> 6304.52s]  in anything more complex than that.
[6304.52s -> 6316.12s]  I believed very sincerely that the scheme we were putting in place would help.
[6316.12s -> 6323.04s]  Do you accept that this exchange of emails shows that in making decisions as to the substance
[6323.04s -> 6330.04s]  as to what the post office should do, i.e. whether it itself should seek to review whether
[6330.04s -> 6336.74s]  that had been past miscarriages of justice, you took into account the views of your media
[6336.74s -> 6344.82s]  adviser as to the extent to which your decision would meet with front-page news.
[6344.82s -> 6351.18s]  I do not recall that being...I see what is written here. There were other conversations
[6351.18s -> 6356.54s]  going on at the same time. The highlighted paragraph isn't as clear as what you're saying.
[6356.54s -> 6364.70s]  I do not think, and I would not have taken personally any decision on review of historic
[6364.70s -> 6365.70s]  cases.
[6365.70s -> 6366.70s]  That was not my role.
[6366.70s -> 6370.26s]  I wasn't qualified or competent to do that.
[6370.26s -> 6372.58s]  I did not take that decision.
[6372.58s -> 6377.70s]  What I was trying to do at this stage was to find a way forwards through the cases that
[6377.70s -> 6384.36s]  had come into the post office and to encourage more to come forwards, which would have enabled
