sentence_index,entity_raw,entity_normalised,category,sentence_text
848,Mrs Jeremiah,Mrs Jeremiah,Individual,"And over the many years, she's also provided, with her business partner, Mrs Jeremiah, hours and hours, days, weeks, months of support annually to subpostmasters with their business affairs so badly affected by the Post Office."
848,the Post Office,Post Office,Organisation,"And over the many years, she's also provided, with her business partner, Mrs Jeremiah, hours and hours, days, weeks, months of support annually to subpostmasters with their business affairs so badly affected by the Post Office."
850,Horizon,Horizon,Technical System,"I not only agree, but I think she's one of the few people that hasn't been sitting in the dining car of the Horizon gravy train."
864,Second Sight,Second Sight,Organisation,"Now, here you make the point that you've heard the inquiry many times seeking clarification in respect of concerns that were first expressed by Second Sight and repeated by others."
865,Anthony Hooper,Anthony Hooper,Individual,"So obviously we know that this was dealt with in relation to the working group, Anthony Hooper was raising this, this was a matter of clear discussion, is that correct?"
867,Ms Harding,Ms Harding,Individual,"Now paragraph 5, you set out there, and I'm just going to ask you to explain please what you're saying here, paragraph 5 you describe the different types of suspense accounts, the first one was affected by the essentially the closure off of the original suspense accounts by the impact programme that the inquiry heard from, I think if I remember right, from Ms Harding, who described her work in relation to that."
869,Horizon,Horizon,Technical System,"Well, they were simply accounts within Horizon itself at branch level which allowed shortfalls, or also theoretically surpluses, to be parked while the subpostmaster and his or her staff was investigating to find the root cause."
870,Post Office,Post Office,Organisation,"They— because the balances that had been posted by the subpostmasters, those accounts started to clock up quite seriously and cause concern in Post Office itself, the fantastic solution that was evolved to do that was to just removed the functionality."
886,TC,TC,Individual,"An incoming TC, a credit TC in that case, will sort out your problem, but never the promise as to how long it would take for that to zero out the amount that was in the suspense account."
888,Horizon,Horizon,Technical System,"Do you recognise that there was a very real issue for subpostmasters trying to, in fact, find what's gone wrong, see if they can look at the material that they had, with huge limitations of access into the Horizon system?"
889,Alan,Alan,Individual,"Well, that was the very point, of course, that Sir Alan himself raised first."
896,Anthony Hooper,Anthony Hooper,Individual,"Right, well now we're talking, of course, there's a lot been said about this, so I'll be very brief, unless you want me to be otherwise, and that is that When I first— in fact, it was Sir Anthony Hooper that said— asked the question under the umbrella heading of, where the devil did the money go?"
906,Royal Mail,Royal Mail,Organisation,"And eventually we explained that wherever there is a difference between what one of your clients, like Royal Mail or National Savings Investments or Camelot or whatever, says is due to or from them, if that is different from what your own books in Post Office shows is due from or to them, there will be entries in both parties' suspense accounts, and those would expect, as Mr Henderson has mentioned, ordinary businesses would expect to clear those very quickly indeed, otherwise they get out of hand."
906,National Savings Investments,National Savings Investments,Organisation,"And eventually we explained that wherever there is a difference between what one of your clients, like Royal Mail or National Savings Investments or Camelot or whatever, says is due to or from them, if that is different from what your own books in Post Office shows is due from or to them, there will be entries in both parties' suspense accounts, and those would expect, as Mr Henderson has mentioned, ordinary businesses would expect to clear those very quickly indeed, otherwise they get out of hand."
906,Post Office,Post Office,Organisation,"And eventually we explained that wherever there is a difference between what one of your clients, like Royal Mail or National Savings Investments or Camelot or whatever, says is due to or from them, if that is different from what your own books in Post Office shows is due from or to them, there will be entries in both parties' suspense accounts, and those would expect, as Mr Henderson has mentioned, ordinary businesses would expect to clear those very quickly indeed, otherwise they get out of hand."
906,Henderson,Ian Henderson,Individual,"And eventually we explained that wherever there is a difference between what one of your clients, like Royal Mail or National Savings Investments or Camelot or whatever, says is due to or from them, if that is different from what your own books in Post Office shows is due from or to them, there will be entries in both parties' suspense accounts, and those would expect, as Mr Henderson has mentioned, ordinary businesses would expect to clear those very quickly indeed, otherwise they get out of hand."
908,Citibank,Citibank,Organisation,"Well, in Citibank, they had to be cleared by 7:30 the following morning, and you'd expect them to be, because if Citibank does a $500 million foreign exchange deal with Bank of America and one processes it at $500 million, the other at $50 million, you'd better get to the bottom of that damn quick."
908,Bank of America,Bank of America,Organisation,"Well, in Citibank, they had to be cleared by 7:30 the following morning, and you'd expect them to be, because if Citibank does a $500 million foreign exchange deal with Bank of America and one processes it at $500 million, the other at $50 million, you'd better get to the bottom of that damn quick."
909,the Post Office,Post Office,Organisation,"Does it make any difference that the Post Office is dealing with, say, 11,000 and the size of the system in operation."
910,PDQ,PDQ,Organisation,Does that have any relationship to the getting it done PDQ?
916,Steen,Steen,Individual,"If I was auditing it, Mr. Steen, I would be fairly forgiving if it was taking a month or or maybe even 2 to clear some of those items."
920,Post Office,Post Office,Organisation,"What's— and of course, Post Office dined out on this sort of phraseology that contextually, the size and frequency of occurrence of these tiny little amounts was so small and so insignificant in their books as to be immaterial."
927,Lloyds Bank,Lloyds Bank,Organisation,"So if we look at something the size of, say, Lloyds Bank, I use as an example, what may relate to a banking business in relation to materiality concerning its turnover and operations, £10,000 may not be material."
932,Steen,Steen,Individual,"The only thing I'd add to that, Mr. Steen, is that if we're dealing with— there was a sort of uniqueness about the Post Office business model where the coalface workers, the agents, the subpostmasters were separate businesses."
932,Post Office,Post Office,Organisation,"The only thing I'd add to that, Mr. Steen, is that if we're dealing with— there was a sort of uniqueness about the Post Office business model where the coalface workers, the agents, the subpostmasters were separate businesses."
937,ATM,ATM,Organisation,"If a shortfall, whether ATM-related or else, occurs in a bank branch of Lloyds Bank and it's £12,000, it's immaterial in their books, and it's actually immaterial in the branch's books because nobody's being expected to pay it out of their own pocket."
937,Lloyds Bank,Lloyds Bank,Organisation,"If a shortfall, whether ATM-related or else, occurs in a bank branch of Lloyds Bank and it's £12,000, it's immaterial in their books, and it's actually immaterial in the branch's books because nobody's being expected to pay it out of their own pocket."
938,Post Office's,Post Office,Organisation,So the materiality issue is different in Post Office's case because of the uniqueness of the business model.
940,the Post Office,Post Office,Organisation,And should that have been considered by the accountants as being a different way to look at materiality within the Post Office?
945,Paul,Paul,Individual,"So it follows that any amounts— any amount that remains sitting as a component of the balances in any of Paul's client suspense accounts will always in truth properly be owned by, and therefore properly refundable to, only one of 4 potential owners, and those 4 are— Yes. —POL itself, POL's customers, one of POL's clients, or a subpostmaster."
945,POL,POL,Organisation,"So it follows that any amounts— any amount that remains sitting as a component of the balances in any of Paul's client suspense accounts will always in truth properly be owned by, and therefore properly refundable to, only one of 4 potential owners, and those 4 are— Yes. —POL itself, POL's customers, one of POL's clients, or a subpostmaster."
946,POL,POL,Organisation,"And then at paragraph 12, you then set out that you and your colleagues formed a hypothesis that you wished to test and hopefully disprove, that some of the unreconciled net credits that POL had every year after 3 years credited to its own profit and loss account might have included amounts that had Pole been able to establish to whom they truly belonged, ought to have been returned to subpostmasters, mistresses and the branches."
950,KPMG,KPMG,Organisation,"And the last figures that we had related to 2010/2011, and I believe later there was perhaps a KPMG report that looked into later years and the figures went up even further."
954,Royal Mail,Royal Mail,Organisation,"Similarly, we weren't concerned if Royal Mail or Camelot or National Savings Investments had been shortchanged in some way."
954,National Savings Investments,National Savings Investments,Organisation,"Similarly, we weren't concerned if Royal Mail or Camelot or National Savings Investments had been shortchanged in some way."
956,Post Office,Post Office,Organisation,"And we weren't worried if Post Office had trousered, as it were, amounts that it should have trousered."
961,Horizon,Horizon,Technical System,"In other words, to the date of your evidence given before— being given now before this inquiry, have you had a resolution to these issues in relation to the suspense accounts, what's happened to the money paid into balance shortfalls that may have been due to a Horizon system error?"
965,KPMG,KPMG,Organisation,"The slightly longer answer is I have read in material that has been supplied to me by the inquiry reports by KPMG and others that took place as late as 2020, that seemingly gives some reassurance that everything currently is okay."
966,Post Office's,Post Office,Organisation,"What they didn't do was go back and pick up the specific items that we drew to Post Office's attention that had come to the surface out of the 136 cases that we looked at, where specific examples of subpostmasters not being reimbursed with amounts that they'd had to cough out in relation to one-sided entries and so on, the specific cases that we brought to the attention of the Chief Financial Officer were not, as far as I can see, ever even looked at."
969,Warmington,Ron Warmington,Individual,"Thank you, Mr. Warmington."
974,KPMG,KPMG,Organisation,"Picking up on the last point that you've just been asked about, I actually would like to take you to that KPMG report, so we'll bring up poll 0003-0909, please."
975,Steen,Steen,Individual,Is this the document that you were referring to when you were asking Mr. Steen— answering Mr. Steen's questions?
992,Ian,Ian,Individual,"I got the sense that they weren't let off the leash, and because I mentioned in my second witness statement that the obvious lines of inquiry that Ian and I would have pursued, along with our fellow investigators, just didn't appear here."
993,Post Office,Post Office,Organisation,"They didn't even mention those sort of things, which was to look at the history of what had been cleared and find out where what Post Office had learned about who really did have to be repaid when they actually bothered to or actually found out who the true owners of items in suspense were."
1003,KPMG,KPMG,Organisation,KPMG does not provide any assurance on the appropriateness or accuracy of sources of information relied upon.
1005,KPMG,KPMG,Organisation,And KPMG does not accept any responsibility for the underlying data used in this report.
1009,KPMG,KPMG,Organisation,But I hesitate to criticise a fine firm like KPMG.
1017,the Post Office,Post Office,Organisation,"If it turns out, if it can ever be found out, that the Post Office was absorbing sums into their profit and loss which rightfully should have been returned to subpostmasters, who within Post this would or should have known that that was happening?"
1017,Post,Post,Organisation,"If it turns out, if it can ever be found out, that the Post Office was absorbing sums into their profit and loss which rightfully should have been returned to subpostmasters, who within Post this would or should have known that that was happening?"
1019,Cameron,Cameron,Individual,"Well, it would be the Chief Financial Officer, Mr Cameron."
1021,Mr Ismay,Mr Ismay,Individual,"And Mr Ismay, who was the functionary in Chesterfield whose department handled this stuff, and he was in the meeting between myself and Mr Henderson and Mr Cameron just about 2 weeks before we were chopped."
1021,Henderson,Ian Henderson,Individual,"And Mr Ismay, who was the functionary in Chesterfield whose department handled this stuff, and he was in the meeting between myself and Mr Henderson and Mr Cameron just about 2 weeks before we were chopped."
1021,Cameron,Cameron,Individual,"And Mr Ismay, who was the functionary in Chesterfield whose department handled this stuff, and he was in the meeting between myself and Mr Henderson and Mr Cameron just about 2 weeks before we were chopped."
1022,Cameron,Cameron,Individual,And do you think that there's any directors on the board apart from Mr Cameron who would or should have known about this?
1024,Horizon,Horizon,Technical System,"Can I then also just ask you This about your investigations, did you find that Horizon conducted true double-entry bookkeeping?"
1026,Horizon,Horizon,Technical System,"I harbour a suspicion, and I've mentioned it I think in my second witness statement, that the assertion that Horizon is a double-entry bookkeeping system is not safe."
1028,Joe,Joe,Individual,"If you sell £100 worth of stamps, Joe, for cash, the double entry is simple."
1032,Joe,Joe,Individual,"But if you're— if you're As in Joe's case, if you have a £2,000 shortfall that in a moment in time becomes a £4,000 shortfall, that extra £2,000 has got to come from somewhere and go to somewhere."
1035,Joe,Joe,Individual,"And when Joe pressed that button and the and her shortfall doubled, and she's not the only person that asserted that."
1036,Jo,Jo,Individual,"If that truly happened, then the system invented a one-sided entry, and what it effectively did was said to Jo, you need to have £2,000 more in the till or in the safe than you've actually got."
1039,Ford,Ford,Organisation,"I'd also raise the points about entries that were processed by other bolted-on front-end systems, like the Ford money changer."
1041,Post Office,Post Office,Organisation,"So obviously we've got the electronic point-of-sale system which managed Post Office products, like stamps and so forth, but then we've got these bolt-ons that Fed figures into Horizon, whether it be from Bank of Ireland cash points, lottery terminals, and I think you mentioned foreign exchange."
1041,Fed,Fed,Organisation,"So obviously we've got the electronic point-of-sale system which managed Post Office products, like stamps and so forth, but then we've got these bolt-ons that Fed figures into Horizon, whether it be from Bank of Ireland cash points, lottery terminals, and I think you mentioned foreign exchange."
1041,Horizon,Horizon,Technical System,"So obviously we've got the electronic point-of-sale system which managed Post Office products, like stamps and so forth, but then we've got these bolt-ons that Fed figures into Horizon, whether it be from Bank of Ireland cash points, lottery terminals, and I think you mentioned foreign exchange."
1041,Bank of Ireland,Bank of Ireland,Organisation,"So obviously we've got the electronic point-of-sale system which managed Post Office products, like stamps and so forth, but then we've got these bolt-ons that Fed figures into Horizon, whether it be from Bank of Ireland cash points, lottery terminals, and I think you mentioned foreign exchange."
1047,Post Office,Post Office,Organisation,"Well, yes, in theory, but I mean, the issue on, for example, foreign exchange transactions is when I asked Post Office for a copy of the Forward Money Changer user manual to be able to work out how the accounting was was working, they said they hadn't got one."
1047,the Forward Money Changer,the Forward Money Changer,Organisation,"Well, yes, in theory, but I mean, the issue on, for example, foreign exchange transactions is when I asked Post Office for a copy of the Forward Money Changer user manual to be able to work out how the accounting was was working, they said they hadn't got one."
1048,Post Office,Post Office,Organisation,"I had to reverse engineer the foreign exchange accounting from the 2,500 pages of documents supplied to me by one of the subpostmaster's professional advisers, as opposed to the 3 documents that Post Office supplied in that case."
1050,Thank,Thank,Individual,"Those are my questions, Mr. Thank you, sir."
1052,Warmington,Ron Warmington,Individual,"Mr. Warmington, I think I should ask you a few questions along the following lines, so please bear with me."
1053,Ms Perkins,Ms Perkins,Individual,"Some of the senior executives, and I believe Ms Perkins in particular as Chair, were asked the question, or the suggestion was put to them, I think is a better way of putting it, that the mediation scheme was a scam."
1053,Chair,Chair,Organisation,"Some of the senior executives, and I believe Ms Perkins in particular as Chair, were asked the question, or the suggestion was put to them, I think is a better way of putting it, that the mediation scheme was a scam."
1058,the Post Office,Post Office,Organisation,"First of all, is it right that the idea of the scheme came from the Post Office?"
1059,Susan Crichton,Susan Crichton,Individual,"Yes, yes, I think from Susan Crichton, my understanding."
1060,Post Office,Post Office,Organisation,"Right, and contemporaneously with your operation of the scheme, I.e., at the time, did you gain any, um, or did you have any idea about whether or not you were engaged in a scheme which was being operated by all concerned in good faith, or whether Post Office were engaged in a scam?"
1066,Alan Bates,Alan Bates,Individual,"Um, I think it was, it was Sir Alan Bates that twigged that in the vernacular, um, and realized that it was a scam, a sham, um, well before I did."
1074,Post Office,Post Office,Organisation,"And when we realised, as soon as we realised the POIRs were taking an awful long time to get to us and that when they arrived none of them gave an inch in regard to any improper conduct or poor behaviour or mistakes made by Post Office itself, we sort of twigged, we realised that this was going through a filtering process that was filtering out any, uh, any, any, um, admission by Post Office."
1079,Susan,Susan Crichton,Individual,"On the departure of Susan, It took a marked turn for the worse."
1082,Post Office,Post Office,Organisation,"One was the expectation gap, as it's called, namely that on the one side, subpostmasters who'd suffered significant losses expected to have proper compensation, whereas on the Post Office side, the expectation was that the compensation would be much lower."
1084,Mediated,Mediated,Organisation,"And thorny issue number two, as I see it— so tell me if I've got it wrong— was the very significant debate which took place as to whether or not convicted people should be Mediated with at all."
1087,Alice Perkins,Alice Perkins,Individual,"Yes, the second one, dealing with that first, it was just obvious, it was obvious to everybody that the principal driving force for calling us in and carrying out an investigation was— had resulted from a meeting between Lord Arbuthnot and Alice Perkins before, I think before she became chairman, and there was this agreement to proceed, and it's absurd to think that Lord Arbuthnot would have said, oh, and it's perfectly okay if you leave Joe Hamilton and anybody else out of this."
1087,Joe Hamilton,Joe Hamilton,Individual,"Yes, the second one, dealing with that first, it was just obvious, it was obvious to everybody that the principal driving force for calling us in and carrying out an investigation was— had resulted from a meeting between Lord Arbuthnot and Alice Perkins before, I think before she became chairman, and there was this agreement to proceed, and it's absurd to think that Lord Arbuthnot would have said, oh, and it's perfectly okay if you leave Joe Hamilton and anybody else out of this."
1089,Howe Co,Howe Co,Organisation,"But the corruption of the mediation scheme, this expectation gap, the first point that you asked, sir, when we started to see the CQRs, the case questionnaire responses, the work done by the professional advisers, including Howe Co and others, when we started to see those coming in with pretty big numbers attached, it didn't surprise Mr Henderson and myself at all."
1089,Henderson,Ian Henderson,Individual,"But the corruption of the mediation scheme, this expectation gap, the first point that you asked, sir, when we started to see the CQRs, the case questionnaire responses, the work done by the professional advisers, including Howe Co and others, when we started to see those coming in with pretty big numbers attached, it didn't surprise Mr Henderson and myself at all."
1091,Post Office,Post Office,Organisation,But we of course hadn't been told at that point that Post Office was harbouring the view that they were only expecting to make token payments.
1102,Henderson,Ian Henderson,Individual,"I harbour the suspicion, I think Mr Henderson probably shares this, that the 2 teams of investigators— I'll call them investigators, they weren't really— the people that were preparing the POIRs on a reporting line to Angela Vanna-Bogaert, I met some of those people, lovely people, and they were empathetic towards the postmasters' cases."
1102,Angela Vanna-Bogaert,Angela Vanna-Bogaert,Individual,"I harbour the suspicion, I think Mr Henderson probably shares this, that the 2 teams of investigators— I'll call them investigators, they weren't really— the people that were preparing the POIRs on a reporting line to Angela Vanna-Bogaert, I met some of those people, lovely people, and they were empathetic towards the postmasters' cases."
1103,Post Office,Post Office,Organisation,"I strongly suspect that the reports they were producing contained quite a few acknowledgements of failings by Post Office, and yet none of them that got through to us had any such concessions, and we would have to be pretty thick not to notice that."
1104,Post Office,Post Office,Organisation,"We did, and my suspicion, and I think this is probably the case, is that It just went through a filtering process to remove anything that was in any way an admission of failure, let alone guilt, by Post Office."
1105,Cartwright King,Cartwright King,Individual,"So the work, the good work that those people were doing, I think was filtered through Cartwright King and Bonn Pierce and the offices of Roderick Williams and Belinda Ojard and others into such an anodyne response."
1105,Bonn Pierce,Bonn Pierce,Organisation,"So the work, the good work that those people were doing, I think was filtered through Cartwright King and Bonn Pierce and the offices of Roderick Williams and Belinda Ojard and others into such an anodyne response."
1105,Roderick Williams,Roderick Williams,Individual,"So the work, the good work that those people were doing, I think was filtered through Cartwright King and Bonn Pierce and the offices of Roderick Williams and Belinda Ojard and others into such an anodyne response."
1105,Belinda Ojard,Belinda Ojard,Individual,"So the work, the good work that those people were doing, I think was filtered through Cartwright King and Bonn Pierce and the offices of Roderick Williams and Belinda Ojard and others into such an anodyne response."
1109,Warmington,Ron Warmington,Individual,"That's it, Mr. Warmington, I assume, since I usually have the last word if anybody is going to have the last word."
1114,Beer,Beer,Individual,Mr. Beer?
1117,Beer,Beer,Individual,"Thank you very much, Mr. Beer."
62,Second Sight,Second Sight,Organisation,"In 2009 and 2010, you became part of and then a director of Second Sight Support Services Limited?"
122,Second Sight,Second Sight,Organisation,"One of the accusations that is levied against Second Sight very frequently in the internal Post Office material, and it sometimes breaks out into things said, for example, to James Arbuthnot and then subsequently to Sir Anthony Hooper, is that one of the chief problems with your investigation was that the slow pace at which it was proceeding."
179,Second Sight,Second Sight,Organisation,"In his witness statement, Mr Henderson said, it's page 22, paragraph 71, to the credit of the Post Office, they, the Post Office, did not try to directly interfere with or influence Second Sight's reports other than by withholding potentially relevant documents."
197,Second Sight,Second Sight,Organisation,"And you say, we in Second Sight held the view that those concerns that have been so clearly expressed by the MPs and their equally clear expectation we would be investigating them had certainly not gone away, but that our interim report was to focus in the main on the narrow issue of systemic flaws in Horizon."
222,Second Sight,Second Sight,Organisation,"We in Second Sight held the view that those concerns that have been so clearly expressed by MPs... had certainly not gone away, but that our interim report was to focus in the main on the narrower issue of systemic flaws in Horizon."
235,Second Sight,Second Sight,Organisation,Why did Second Sight agree to it?
303,Second Sight,Second Sight,Organisation,of Second Sight.
321,Second Sight,Second Sight,Organisation,"Having now read that email, I'm even more shocked than I was when as early as May 2013 and thereafter Paul Venells contended that Second Sight had never been invited to look for any evidence of unsafe prosecutions."
324,Second Sight,Second Sight,Organisation,"Well, it's a matter of huge regret, and not only myself but my colleagues at Second Sight, that we had far less face-to-face contact with Paula Vannells than I would ordinarily have expected as to have, and therefore we'd been shunted down to the second level of, as I say, I think they called themselves conduits, who were, as far as we were at first aware, were conveying to us what Paula wanted and didn't want."
349,Second Sight,Second Sight,Organisation,"After the meeting with Ms Vennells, did you believe that what— did you believe what she meant, what she said, she meant what she said rather, namely what's recorded in this email, namely the Post Office's objective, primary objective was to be transparent and deal with whatever outcomes and conclusions Second Sight reaches?"
353,Second Sight,Second Sight,Organisation,"Do you know why, did you know why the Post Office appointed Second Sight over other forensic accountants?"
470,Post Office,Post Office,Organisation,"Well, Susan had said to me, as best I recall, and I recall these things pretty well, she said something along the lines of, I've been asked to take over the POID, the Post Office Investigation Department, John Scott's department."
525,CCRC,CCRC,Organisation,This is an email of much later from Amanda Peacock of the CCRC.
531,CCRC,CCRC,Organisation,I suspect this is a quote from the meeting that I had in Birmingham with the CCRC at their request.
553,Second Sight,Second Sight,Organisation,He accepted when he gave evidence that he received the report from Second Sight.
704,Second Sight,Second Sight,Organisation,"And I didn't think— and I would— I recognised as early as that, without the benefit of second sight, haha, that we would later learn that— what we have later learned in regard to his briefing and the the modifications of his witness statements and so on."
899,Second Sight,Second Sight,Organisation,"And, you know, second sight, find out."
929,Post Office,Post Office,Organisation,"Oh yes, and regarding the question of materiality, where you've got this complex mixture, so materiality to a subpostmaster or mistress may be £5,000, £10,000, maybe a few hundred, but to the overall post office business it may be— it may not be the same."
197,Horizon,Horizon,Technical System,"And you say, we in Second Sight held the view that those concerns that have been so clearly expressed by the MPs and their equally clear expectation we would be investigating them had certainly not gone away, but that our interim report was to focus in the main on the narrow issue of systemic flaws in Horizon."
211,Horizon,Horizon,Technical System,"In your witness statement, you describe things the other way round, that the narrower piece of work was Job 1, it focused in the main on the narrower issue of systemic flaws in Horizon."
212,Horizon,Horizon,Technical System,Why was the narrower issue the systemic— the issue of systemic flaws in Horizon?
222,Horizon,Horizon,Technical System,"We in Second Sight held the view that those concerns that have been so clearly expressed by MPs... had certainly not gone away, but that our interim report was to focus in the main on the narrower issue of systemic flaws in Horizon."
282,the system,the system,Technical System,Of course there are bugs in the system.
295,the system,the system,Technical System,"but had life-changing impact on those that the bugs hit, but were inconsequential in the context of the entirety of the system."
447,PinICL,PinICL,Technical System,"No. Did the Post Office provide you with any witness statements that had been prepared in past cases concerning the Post Office in criminal proceedings which set out categories of documents, including PinICL, peaks and kells, that may be relevant to your investigation?"
909,the system,the system,Technical System,"Does it make any difference that the Post Office is dealing with, say, 11,000 and the size of the system in operation."
1036,the system,the system,Technical System,"If that truly happened, then the system invented a one-sided entry, and what it effectively did was said to Jo, you need to have £2,000 more in the till or in the safe than you've actually got."
1044,Horizon,Horizon,Technical System,"processed on a Wednesday once a week, you don't— you can't assert that to be horizon double entry."
58,audit,audit,Event/Issue,"Variously as a regional head of internal audit, chairman of the audit and risk committee, CFO, Head of Investigations for Europe, the Middle East, and Africa, and then Global Head of Investigations?"
98,shortfalls,shortfall,Event/Issue,"Well, very much along the lines of what Mr Henderson said that it was very clear that Post Office knew, insofar as a corporation can know anything, the people at the top knew that they were dealing with an existential issue, that if it turned out that Horizon was generating spurious shortfalls, that they had a lousy investigation function, that they had wrongfully prosecuted people, that would be existential."
126,mediation scheme,mediation scheme,Event/Issue,"Yes, it was taking longer, particularly in the— during the mediation scheme with 150 applicants, each with a very detailed story."
138,mediation scheme,mediation scheme,Event/Issue,"You're here in the mediation scheme and you say, where we couldn't resolve a point of conflict, within a report, we'd flag it in the relevant place."
209,mediation scheme,mediation scheme,Event/Issue,"Job 1 was the broader investigation that definitely included consideration of the conduct of investigations and prosecutions, but this was narrower, and as we went into the mediation scheme, that became a more narrowly defined piece of work which we referred to as Job 2."
214,mediation scheme,mediation scheme,Event/Issue,"The narrower job was— manifested itself principally in the mediation scheme, which was underway at this point."
224,mediation scheme,mediation scheme,Event/Issue,"Well, I have expressed that the way I intended to, but I think the confusion that I've allowed to creep in here, for which I apologise, is that the Post Office's understanding of the mediation scheme was that that, in a sense, in a sense displaced, vaporised the original work that we'd been asked to carry out."
240,mediation scheme,mediation scheme,Event/Issue,"In your mind, and putting aside the events which happened, namely the development of the initial complaint and mediation scheme, what was still left after the production of the interim report?"
241,mediation scheme,mediation scheme,Event/Issue,"Well, had the mediation scheme not fired up, and diverted our attention onto the 150 applicants' cases."
246,mediation scheme,mediation scheme,Event/Issue,The Post Office determined that that should be done through the mediation scheme?
282,bugs,bug,Event/Issue,Of course there are bugs in the system.
283,errors,error,Event/Issue,"Now we were at pains, you probably are aware, in that when we released that interim report, we studiously avoided using the term that there had been systemic errors, even though there had been some disclosed to us."
285,bugs,bug,Event/Issue,"We have now— I've made it clear in emails to Cameron Freeman, the Minister herself— we are now of the view that not only did systemic bugs exist during the time of these cases arising, but that systemic bugs in all likelihood definitely still exist, and then you carry on."
286,errors,error,Event/Issue,"The point there, we studiously avoided using that term systemic errors, even though some have been disclosed to us."
287,errors,error,Event/Issue,Why did you avoid using the term systemic errors in the interim report?
288,errors,error,Event/Issue,"if, as you say here, systemic errors had been disclosed to you by that time?"
292,bugs,bug,Event/Issue,"And had there been such systemic bugs, they would have been glaringly obvious to at least some of— quite a lot of the people."
294,bugs,bug,Event/Issue,"What we found was that the— whether it was bugs or other forms of error and defect that were manifesting themselves were unusual, were rare."
294,error,error,Event/Issue,"What we found was that the— whether it was bugs or other forms of error and defect that were manifesting themselves were unusual, were rare."
294,defect,defect,Event/Issue,"What we found was that the— whether it was bugs or other forms of error and defect that were manifesting themselves were unusual, were rare."
295,bugs,bug,Event/Issue,"but had life-changing impact on those that the bugs hit, but were inconsequential in the context of the entirety of the system."
409,shortfalls,shortfall,Event/Issue,"Well, my experience as a corporate investigator meant that whenever broadly similar events occurred, whether it was ATM shortfalls or fraud by customers or whatever, the investigation team would draw those cases together and look for linkages and help— in order to help its investigators to get to grips with what systemically had gone wrong to allow that fraud or that event to occur."
432,bugs,bug,Event/Issue,"Would it include reports on any bugs, errors or defects, however they're described?"
432,errors,error,Event/Issue,"Would it include reports on any bugs, errors or defects, however they're described?"
432,defects,defect,Event/Issue,"Would it include reports on any bugs, errors or defects, however they're described?"
435,shortfall,shortfall,Event/Issue,"When you were instructed and in the absence of such a compendium of material, Were you in fact made aware that— by the Post Office— that there had been acquittals of subpostmasters in criminal trials, of subpostmasters who had alleged that Horizon was responsible for the shortfall of which they were accused of either stealing or falsely accounting?"
438,bug,bug,Event/Issue,"Did the Post Office draw to your attention right at the beginning any suites of documents held by the Post Office concerning the functioning of or deficiencies in the Horizon system, including release notes documenting bug fixes?"
442,bug,bug,Event/Issue,"No. Did they, the Post Office, present you with documentation, and I include in that phrase memoranda, reports, emails, minutes of meetings, concerning bugs of which the Post Office was already aware, in particular the Calendar Square bug and the receipts and payments mismatch bug?"
442,mismatch,mismatch,Event/Issue,"No. Did they, the Post Office, present you with documentation, and I include in that phrase memoranda, reports, emails, minutes of meetings, concerning bugs of which the Post Office was already aware, in particular the Calendar Square bug and the receipts and payments mismatch bug?"
501,shortfall,shortfall,Event/Issue,"2, Post Office investigators often appear to have paid scant attention to the interviewee's assertions of innocence or his or her reference to specific transaction anomalies, they seem to have shown little or no willingness to establish the underlying root cause of any given shortfall."
586,shortfalls,shortfall,Event/Issue,"Yes, in every case, inattention to the underlying root causes of the shortfalls that were being pursued civilly or criminally, but also, as Ian has mentioned, the failure to disclose, as far as he could detect, because I was relying on his input on this and it was entirely credible to me, not disclosing exculpatory evidence, evidence of innocence if you like, or evidence that would undermine the prosecution or a civil case."
643,defects,defect,Event/Issue,"And then 2, by using the 2 to 3 cases, you'll answer the question, have systemic defects in the Horizon system resulted in the wrongful conviction or suspension of subpostmasters?"
645,defects,defect,Event/Issue,Defects in the Horizon system which are systemic and the conviction wrongfully of subpostmasters?
663,defects,defect,Event/Issue,and I had made it clear— that we weren't going to use the term systemic defects.
664,defects,defect,Event/Issue,"It follows if we weren't going to define— say there had been any systemic defects, how on earth could there be systemic defects that had resulted in a wrongful conviction or suspension of the tiny volume of subpostmasters whose cases we'd looked at that point?"
674,defects,defect,Event/Issue,"And again, I think you may have answered this already, do you think on reflection this episode, i.e., picking up probable misconduct of prosecutions as early as August and September 2012, raising that with the Post Office, suggesting a solution, them not taking it up seemingly, but then asking you to use a 2 or 3 case sample size to A, answer the question whether there are systemic defects, and B, to say that has not resulted in the wrongful conviction of any subpostmasters, is absurd, should have been included in the interim report."
800,mediation scheme,mediation scheme,Event/Issue,"And it was in the context then, was it, of you gathering information in terms of your role in the mediation scheme?"
869,shortfalls,shortfall,Event/Issue,"Well, they were simply accounts within Horizon itself at branch level which allowed shortfalls, or also theoretically surpluses, to be parked while the subpostmaster and his or her staff was investigating to find the root cause."
872,suspense account,suspense account,Event/Issue,"And you conclude that the final part of paragraph 5, in relation to subpostmasters, the removal of the suspense account at that time, leaving many of them with no realistic alternative which faced— when faced with shortfalls that they could neither understand nor make good, but to falsify branch books in order to buy time."
